lat,lon
43.3446,-76.6969
42.4606,-71.4027
43.5768,-73.3842
44.4479,-77.203
43.1786,-72.4484
43.3516,-72.5061
44.2462,-72.2484
43.3464,-76.688
43.5572,-76.2043
43.9756,-74.1357
44.0647,-75.4843
42.72,-71.65
42.74,-71.6801
42.9424,-76.8191
41.6748,-70.2779
42.4622,-71.3991
43.3408,-76.6932
44.0944,-73.1901
41.7246,-72.2022
43.5572,-76.2045
44.0944,-73.19
44.059,-73.331
44.078,-73.3487
42.7367,-72.508
43.6383,-73.2685
44.873,-79.857
43.3164,-76.725
45.95,-75.95
45.4167,-74.1668
42.9665,-76.9468
40.334,-74.6709
42.448,-71.979
43.5769,-73.3841
43.6132,-73.3773
44.9691,-73.1556
43.3564,-72.5003
43.1793,-72.4485
44.6235,-73.2385
44.5342,-73.2783
44.268,-73.2667
44.2163,-73.1561
41.5331,-72.3348
41.9838,-73.3538
42.9422,-76.819
42.9752,-76.737
43.0736,-76.7231
42.9325,-76.8189
