spp,lon,lat
Mn,-72.5237,42.3802
Mn,-71.0542,41.6305
Mn,-73.9741,42.5882
Mn,-79.4986,43.632
Mn,-79.5833,43.7088
Mn,-74.9864,41.4819
Mn,-75.8768,44.4083
Mn,-74.1485,42.5227
Mn,-73.3535,41.9812
Mn,-75.4943,44.0689
Mn,-76.12,43.898
Mn,-76.3469,42.5139
Mn,-71.5294,42.7052
Mn,-71.6454,42.6736
Mn,-71.652,42.472
Mn,-71.553,44.367
Mn,-70.283,41.679
Mn,-71.6128,42.5847
Mn,-70.627,43.405
Mn,-70.393,43.405
Mn,-72.3078,42.7824
Mn,-72.4561,42.258
Mn,-72.4866,42.7969
Mn,-72.4634,42.5893
Mn,-73.7642,45.5013
Mn,-74.622,40.8314
